City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
164,Guane,CU,2022-11-25 03:47:44,22.2025,-84.0875,75.4,91,64,5.39,broken clouds,0,0
165,Saint-Georges,GD,2022-11-25 03:44:23,12.0564,-61.7485,78.48,94,20,17.27,few clouds,0,0
166,Yara,CU,2022-11-25 03:47:44,20.2753,-76.9533,73.27,93,16,4.7,few clouds,0,0
167,Sungairaya,ID,2022-11-25 03:47:45,0.7,108.9,89.26,56,26,4.36,light rain,0,0
168,Guadalupe Victoria,MX,2022-11-25 03:47:45,32.2869,-115.105,61.95,20,1,11.83,clear sky,0,0
169,Kirakira,SB,2022-11-25 03:47:46,-10.4544,161.9205,84.94,72,25,6.11,scattered clouds,0,0
170,Port-Cartier,CA,2022-11-25 03:47:46,50.0334,-66.8654,20.88,87,95,5.77,overcast clouds,0,0
171,New Norfolk,AU,2022-11-25 03:47:47,-42.7826,147.0587,56.88,84,100,3.94,overcast clouds,0,0
172,Ossora,RU,2022-11-25 03:47:47,59.2353,163.0719,12.15,86,16,4.03,few clouds,0,0
173,Forestville,US,2022-11-25 03:43:42,38.8451,-76.875,50.2,79,0,8.05,clear sky,0,0
174,Tiksi,RU,2022-11-25 03:47:48,71.6872,128.8694,-25.98,98,89,8.86,overcast clouds,0,0
175,Naryan-Mar,RU,2022-11-25 03:47:48,67.6713,53.087,19.45,97,95,5.46,light snow,0,0
176,Iqaluit,CA,2022-11-25 03:47:49,63.7506,-68.5145,4.73,66,0,4.61,clear sky,0,0
177,Jizan,SA,2022-11-25 03:47:49,17.3333,42.6667,76.14,69,8,0.96,clear sky,0,0
178,Honiara,SB,2022-11-25 03:47:50,-9.4333,159.95,83.66,77,46,2.89,scattered clouds,0,0
179,Pangnirtung,CA,2022-11-25 03:47:50,66.1451,-65.7125,-1.5,74,0,6.42,clear sky,0,0
180,Prado,BR,2022-11-25 03:47:51,-17.3411,-39.2208,73.44,93,100,9.69,moderate rain,0,0
181,Cabo San Lucas,MX,2022-11-25 03:46:23,22.8909,-109.9124,73.71,78,20,4.61,few clouds,0,0
182,Port Elizabeth,ZA,2022-11-25 03:47:51,-33.918,25.5701,62.1,74,0,13.8,clear sky,0,0
183,Luderitz,NA,2022-11-25 03:47:52,-26.6481,15.1594,57.92,81,0,19.04,clear sky,0,0
184,Leningradskiy,RU,2022-11-25 03:47:52,69.3833,178.4167,3.6,94,100,6.51,light snow,0,0
185,Souillac,MU,2022-11-25 03:47:53,-20.5167,57.5167,77.38,69,40,10.36,scattered clouds,0,0
186,Sao Filipe,CV,2022-11-25 03:47:53,14.8961,-24.4956,74.5,62,0,12.33,clear sky,0,0
187,Yazman,PK,2022-11-25 03:47:54,29.1212,71.7446,73.4,16,79,5.46,broken clouds,0,0
188,Grindavik,IS,2022-11-25 03:47:54,63.8424,-22.4338,46.35,81,75,13.8,broken clouds,0,0
189,Cherskiy,RU,2022-11-25 03:47:55,68.75,161.3,-11.78,98,100,4.83,overcast clouds,0,0
190,Okhotsk,RU,2022-11-25 03:47:55,59.3833,143.3,-0.76,79,22,15.48,few clouds,0,0
191,Maun,BW,2022-11-25 03:47:55,-19.9833,23.4167,69.76,100,75,2.3,broken clouds,0,0
192,Edremit,TR,2022-11-25 03:47:56,39.5961,27.0244,51.55,87,75,8.05,broken clouds,0,0
193,Yen Bai,VN,2022-11-25 03:46:01,21.7,104.8667,73.35,94,100,1.63,overcast clouds,0,0
194,Mao,ES,2022-11-25 03:47:57,39.8885,4.2658,64.96,88,75,12.66,broken clouds,0,0
195,Vanimo,PG,2022-11-25 03:47:57,-2.6741,141.3028,85.91,65,45,7.83,scattered clouds,0,0
196,Florianopolis,BR,2022-11-25 03:44:11,-27.6146,-48.5012,66.63,80,75,4.61,broken clouds,0,0
197,Nanortalik,GL,2022-11-25 03:47:58,60.1432,-45.2371,29.05,65,100,3.62,overcast clouds,0,0
198,Havre-Saint-Pierre,CA,2022-11-25 03:47:58,50.2334,-63.5986,21.2,73,0,9.22,clear sky,0,0
199,Pevek,RU,2022-11-25 03:47:58,69.7008,170.3133,-3.59,92,100,1.74,overcast clouds,0,0
200,Paamiut,GL,2022-11-25 03:47:59,61.994,-49.6678,21.74,64,100,6.04,overcast clouds,0,0
201,Ostersund,SE,2022-11-25 03:47:59,63.1792,14.6357,32.45,100,100,14.97,overcast clouds,0,0
202,Amga,RU,2022-11-25 03:48:00,60.8953,131.9608,-23.6,97,98,0.27,overcast clouds,0,0
203,Neiafu,TO,2022-11-25 03:48:00,-18.65,-173.9833,79.48,94,40,4.61,light intensity shower rain,0,0
204,Ulladulla,AU,2022-11-25 03:47:03,-35.35,150.4667,65.86,71,52,8.7,broken clouds,0,0
205,Fiumicino,IT,2022-11-25 03:48:01,41.7675,12.2291,55.78,81,0,4.61,clear sky,0,0
206,Fortuna,US,2022-11-25 03:48:01,40.5982,-124.1573,47.32,100,0,0.0,clear sky,0,0
207,Megion,RU,2022-11-25 03:48:02,61.0296,76.1136,-30.98,95,6,8.32,clear sky,0,0
208,Porto Santo,PT,2022-11-25 03:48:02,33.072,-16.3415,62.98,82,20,3.44,few clouds,0,0
209,Manado,ID,2022-11-25 03:48:03,1.487,124.8455,88.57,66,75,2.3,broken clouds,0,0
210,Kikwit,CD,2022-11-25 03:48:05,-5.041,18.8162,68.63,98,100,0.83,light rain,0,0
211,Camacha,PT,2022-11-25 03:48:05,33.0833,-16.3333,60.22,82,20,3.44,few clouds,0,0
212,Mbanza-Ngungu,CD,2022-11-25 03:48:06,-5.25,14.8667,67.32,99,100,3.67,moderate rain,0,0
213,Foam Lake,CA,2022-11-25 03:48:06,51.65,-103.5343,35.62,87,83,8.55,broken clouds,0,0
214,Kinablangan,PH,2022-11-25 03:48:07,7.6947,126.5503,83.84,71,51,4.81,broken clouds,0,0
215,Mogadishu,SO,2022-11-25 03:48:07,2.0371,45.3438,80.47,100,40,9.22,scattered clouds,0,0
216,Isangel,VU,2022-11-25 03:48:08,-19.55,169.2667,80.38,79,22,9.1,few clouds,0,0
217,Rio Gallegos,AR,2022-11-25 03:44:46,-51.6226,-69.2181,51.85,37,75,12.66,broken clouds,0,0
218,Georgetown,MY,2022-11-25 03:44:16,5.4112,100.3354,85.95,79,20,3.44,few clouds,0,0
219,Pierre,US,2022-11-25 03:48:09,44.3683,-100.351,36.52,76,0,9.22,clear sky,0,0
220,Aleksandrov Gay,RU,2022-11-25 03:48:09,50.147,48.5704,39.78,87,100,4.65,overcast clouds,0,0
221,Ponta Do Sol,PT,2022-11-25 03:48:10,32.6667,-17.1,66.83,72,98,4.07,overcast clouds,0,0
222,Yellowknife,CA,2022-11-25 03:48:08,62.456,-114.3525,23.56,93,100,13.8,light snow,0,0
223,Maiduguri,NG,2022-11-25 03:48:11,11.8464,13.1603,65.98,47,11,7.58,few clouds,0,0
224,Istisu,AZ,2022-11-25 03:48:11,40.9457,48.0738,27.27,51,40,2.73,scattered clouds,0,0
225,Soyo,AO,2022-11-25 03:48:12,-6.1349,12.3689,77.76,87,100,5.79,overcast clouds,0,0
226,Khatanga,RU,2022-11-25 03:48:12,71.9667,102.5,-20.88,95,100,16.78,overcast clouds,0,0
227,Ormara,PK,2022-11-25 03:48:13,25.2088,64.6357,76.28,46,100,4.88,overcast clouds,0,0
228,Talnakh,RU,2022-11-25 03:48:13,69.4865,88.3972,-30.35,93,78,4.05,broken clouds,0,0
229,Jinchang,CN,2022-11-25 03:48:14,38.4953,102.1739,34.77,45,50,3.67,scattered clouds,0,0
230,Loreto,MX,2022-11-25 03:48:14,22.2667,-101.9667,58.41,51,45,4.7,scattered clouds,0,0
231,Batticaloa,LK,2022-11-25 03:48:15,7.7102,81.6924,80.71,72,91,4.63,overcast clouds,0,0
232,Hanko,FI,2022-11-25 03:48:15,59.8333,22.95,31.05,86,100,14.88,overcast clouds,0,0
233,Temnikov,RU,2022-11-25 03:48:15,54.6302,43.2148,16.36,96,51,2.46,broken clouds,0,0
234,Taksimo,RU,2022-11-25 03:48:16,56.3444,114.8794,5.29,76,100,4.47,overcast clouds,0,0
235,Haines Junction,CA,2022-11-25 03:48:17,60.7522,-137.5108,19.35,93,100,2.3,overcast clouds,0,0
236,Aksarka,RU,2022-11-25 03:48:17,66.5606,67.7975,-13.63,96,63,6.24,broken clouds,0,0
237,Progreso,MX,2022-11-25 03:48:18,21.2833,-89.6667,76.53,85,39,10.6,scattered clouds,0,0
238,Baherden,TM,2022-11-25 03:48:18,38.4362,57.4316,54.73,53,0,7.85,clear sky,0,0
239,Venice,US,2022-11-25 03:45:15,27.0998,-82.4543,74.98,97,0,5.75,clear sky,0,0
240,Santiago,CL,2022-11-25 03:43:31,-33.4569,-70.6483,74.25,52,0,3.44,clear sky,0,0
